FIPS,county_clean,State,married.slope_2022,unmarried.slope_2022,household_volatility,E_POV150,E_UNINSUR,E_CROWD,E_NOVEH,E_MINRTY,E_AGE65,healthcare_vulnerability,disease_risk_score,covid_cases,covid_cases_per_100k
13189,"mcduffie, georgia",GA,114.056069038808,50.7785714285714,164.83464046737942,6838,2932,60,666,10025,3779,2992,1861.1338561869518,3306,15445.7110820407
17111,"mchenry, illinois",IL,-911.189285714286,361.860714285714,1273.05,30172,15135,1783,4299,60503,44851,16918,10660.019999999999,96049,31256.691539941
38049,"mchenry, north dakota",ND,-83.1497737556638,-22.6571428571429,105.8069166128067,942,175,3,95,274,1199,178,149.12276664512268,1607,27587.982832618
13191,"mcintosh, georgia",GA,-56.8464285714286,94.5922456319386,151.4386742033672,3780,1745,12,395,5402,3789,1757,1114.775469681347,2250,15826.1236547795
38051,"mcintosh, north dakota",ND,-22.8928571428571,94.5922456319386,117.48510277479569,504,167,2,85,136,800,169,148.39404110991828,913,36015.7790927022
40091,"mcintosh, oklahoma",OK,-506.288057530721,94.5922456319386,600.8803031626596,6575,4275,317,390,6393,5052,4592,2995.5521212650638,5597,28444.3766834375
42083,"mckean, pennsylvania",PA,313.327117000677,-131.290449256638,444.617566257315,10324,1588,98,1439,2874,7980,1686,1189.4470265029258,9916,24172.9845688794
38053,"mckenzie, north dakota",ND,423.960714285714,175.539285714286,599.5,2886,2156,351,118,3187,1190,2507,1744,3687,26647.8751084128
35031,"mckinley, new mexico",NM,-747.175,118.492857142857,865.667857142857,35123,14255,2793,2235,65913,8881,17048,10575.067142857142,34303,47672.1885596754
17113,"mclean, illinois",IL,-973.388881706574,367.771428571429,1341.160310278003,35286,6863,752,4215,35962,22741,7615,5105.464124111201,62206,36131.8277921052
21149,"mclean, kentucky",KY,54.5571428571428,94.5922456319386,149.1493884890814,1939,512,40,250,381,1794,552,390.85975539563253,3337,36263.8556835471
38055,"mclean, north dakota",ND,49.1,94.5922456319386,143.6922456319386,1166,398,41,143,1075,2234,439,320.8768982527754,3236,33952.3659636974
48309,"mclennan, texas",TX,1195.525,614.617857142857,1810.142857142857,73711,35716,2730,5510,113235,36669,38446,23791.65714285714,73969,29116.4951091342
27085,"mcleod, minnesota",MN,184.578215901769,124.785714285714,309.363930187483,5359,1659,174,691,3417,6678,1833,1223.545572074993,11278,31513.3564323237
47107,"mcminn, tennessee",TN,703.514592409134,97.2714285714286,800.7860209805626,13987,5457,448,867,6043,10584,5905,3863.3144083922252,16680,31240.6353011687
48311,"mcmullen, texas",TX,-49.5203947462142,-8.88571428571429,58.406109031928494,217,180,16,6,470,96,196,140.96244361277138,200,27624.3093922652
47109,"mcnairy, tennessee",TN,303.812168713674,94.5922456319386,398.4044143456126,8379,2424,153,390,2682,5416,2577,1705.5617657382452,7651,29638.9556054854
20113,"mcpherson, kansas",KS,277.732159017469,94.7785714285714,372.5107304460404,4701,1666,110,501,2530,5640,1776,1214.604292178416,9312,32608.4672759744
31117,"mcpherson, nebraska",NE,-56.8464285714286,94.5922456319386,151.4386742033672,83,14,3,2,5,139,17,70.77546968134689,74,17619.0476190476
46089,"mcpherson, south dakota",SD,-38.7964285714286,94.5922456319386,133.3886742033672,442,162,0,36,118,698,162,150.5554696813469,535,23100.1727115717
20119,"meade, kansas",KS,-66.7714285714286,2.52490029484034,69.29632886626894,804,544,13,42,1070,718,557,361.91853154650755,1347,32694.1747572816
21163,"meade, kentucky",KY,-56.8464285714286,83.625,140.4714285714286,5554,894,257,358,3054,4043,1151,746.7885714285715,7464,26301.1381655449
46093,"meade, south dakota",SD,249.428571428571,96.8775048480929,346.3060762766639,4579,3135,126,289,3647,4316,3261,2095.1224305106653,8497,30185.7970087747
30059,"meagher, montana",MT,22.5214285714286,94.5922456319386,117.1136742033672,345,172,0,3,147,579,172,150.0454696813469,599,33370.4735376045
37119,"mecklenburg, north carolina",NC,9467.21071428571,5270.37857142857,14737.589285714279,207730,124453,9547,23730,588479,122780,134000,86295.03571428571,371088,33884.0545303469
51117,"mecklenburg, virginia",VA,-144.967857142857,404.76188018173,549.7297373245871,7390,2494,132,1013,12229,7869,2626,1795.4918949298349,8069,26261.1469114105
26107,"mecosta, michigan",MI,-448.790820943759,-167.946073044615,616.736893988374,11893,3080,408,1027,4040,7982,3488,2339.4947575953493,10464,24065.6838619167
39103,"medina, ohio",OH,1190.54143503559,428.232142857143,1618.773577892733,18623,6456,576,2452,12370,32011,7032,4866.709431157093,51671,28847.7857924474
48325,"medina, texas",TX,313.846428571429,100.103571428571,413.95,8410,6454,491,787,29242,8508,6945,4332.58,12547,24665.3167941182
27093,"meeker, minnesota",MN,74.4518907563106,31.9321428571429,106.38403361345351,3569,1061,168,441,1444,4577,1229,779.9536134453814,6223,26882.3707287572
39105,"meigs, ohio",OH,-238.803571428571,94.5922456319386,333.39581706050956,7420,1585,120,693,809,4517,1705,1156.358326824204,6534,28440.8461739358
47121,"meigs, tennessee",TN,131.260714285714,52.7321428571429,183.99285714285688,2827,1362,162,288,856,2631,1524,987.9971428571428,3390,27702.8683500858
